"Name","FundType","UseFor"
"RCEL","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"FDR","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"TBL","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"BASB SJCO","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Other","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Dinajpur","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Rangpur","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Rajshahi","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Bogra","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Jamalpur","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Mymenshingh","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Tangail","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Pabna","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Kushtia","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Jessore","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Khulna","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Barisal","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Patuakhali","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Faridpur","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Dhaka","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Sylhet","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Comilla","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Noakhali","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Chittagong","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Rangamati","Royal Commonwealth Ex-services League (RCEL)","toOrFrom"
"Welfare","Royal Commonwealth Ex-services League (RCEL)","against"
"Admin Expen","Royal Commonwealth Ex-services League (RCEL)","against"
"Med","Royal Commonwealth Ex-services League (RCEL)","against"
"Misc Expen","Royal Commonwealth Ex-services League (RCEL)","against"
"Cheque Return","Royal Commonwealth Ex-services League (RCEL)","against"
"Surplus","Royal Commonwealth Ex-services League (RCEL)","against"
"FDR Profit","Royal Commonwealth Ex-services League (RCEL)","against"
"Bank Profit","Royal Commonwealth Ex-services League (RCEL)","against"
"FDR BSCR","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"TBL","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"BASB SJCO","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"AHQ","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"NAVY HQ","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Air HQ","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Loan Hoder","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Other","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Dinajpur","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Rangpur","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Rajshahi","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Bogra","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Jamalpur","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Mymenshingh","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Tangail","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Pabna","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Kushtia","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Jessore","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Khulna","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Barisal","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Patuakhali","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Faridpur","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Dhaka","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Sylhet","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Comilla","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Noakhali","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Chittagong","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Rangamati","Bangladesh Serviceman Charitable Relief Fund (BSCR)","toOrFrom"
"Loan","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"FDR Profit","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Bank Profit","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Amin Expen","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Misc Expen","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Surplus","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Help","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Misc","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"Cheque Return","Bangladesh Serviceman Charitable Relief Fund (BSCR)","against"
"FDR Defense Colony","Defense Colony Fund","toOrFrom"
"TBL","Defense Colony Fund","toOrFrom"
"BASB SJCO","Defense Colony Fund","toOrFrom"
"AHQ","Defense Colony Fund","toOrFrom"
"NAVY HQ","Defense Colony Fund","toOrFrom"
"Air HQ","Defense Colony Fund","toOrFrom"
"Other","Defense Colony Fund","toOrFrom"
"Dinajpur","Defense Colony Fund","toOrFrom"
"Rangpur","Defense Colony Fund","toOrFrom"
"Rajshahi","Defense Colony Fund","toOrFrom"
"Bogra","Defense Colony Fund","toOrFrom"
"Jamalpur","Defense Colony Fund","toOrFrom"
"Mymenshingh","Defense Colony Fund","toOrFrom"
"Tangail","Defense Colony Fund","toOrFrom"
"Pabna","Defense Colony Fund","toOrFrom"
"Kushtia","Defense Colony Fund","toOrFrom"
"Jessore","Defense Colony Fund","toOrFrom"
"Khulna","Defense Colony Fund","toOrFrom"
"Barisal","Defense Colony Fund","toOrFrom"
"Patuakhali","Defense Colony Fund","toOrFrom"
"Faridpur","Defense Colony Fund","toOrFrom"
"Dhaka","Defense Colony Fund","toOrFrom"
"Sylhet","Defense Colony Fund","toOrFrom"
"Comilla","Defense Colony Fund","toOrFrom"
"Noakhali","Defense Colony Fund","toOrFrom"
"Chittagong","Defense Colony Fund","toOrFrom"
"Rangamati","Defense Colony Fund","toOrFrom"
"Land Tender Money","Defense Colony Fund","against"
"FDR Profit","Defense Colony Fund","against"
"Bank Profit","Defense Colony Fund","against"
"Admin Expen","Defense Colony Fund","against"
"Misc Expen","Defense Colony Fund","against"
"Surplus","Defense Colony Fund","against"
"Cheque Return","Defense Colony Fund","against"
"FDR Pte","Private Fund","toOrFrom"
"FDR RCEL","Private Fund","toOrFrom"
"TBL","Private Fund","toOrFrom"
"Med Dis","Private Fund","toOrFrom"
"Budget Br","Private Fund","toOrFrom"
"Pub Fund","Private Fund","toOrFrom"
"Other Coy","Private Fund","toOrFrom"
"BASB SJCO","Private Fund","toOrFrom"
"AHQ","Private Fund","toOrFrom"
"NAVY HQ","Private Fund","toOrFrom"
"Air HQ","Private Fund","toOrFrom"
"Other","Private Fund","toOrFrom"
"Dinajpur","Private Fund","toOrFrom"
"Rangpur","Private Fund","toOrFrom"
"Rajshahi","Private Fund","toOrFrom"
"Bogra","Private Fund","toOrFrom"
"Jamalpur","Private Fund","toOrFrom"
"Mymenshingh","Private Fund","toOrFrom"
"Tangail","Private Fund","toOrFrom"
"Pabna","Private Fund","toOrFrom"
"Kushtia","Private Fund","toOrFrom"
"Jessore","Private Fund","toOrFrom"
"Khulna","Private Fund","toOrFrom"
"Barisal","Private Fund","toOrFrom"
"Patuakhali","Private Fund","toOrFrom"
"Faridpur","Private Fund","toOrFrom"
"Dhaka","Private Fund","toOrFrom"
"Sylhet","Private Fund","toOrFrom"
"Comilla","Private Fund","toOrFrom"
"Noakhali","Private Fund","toOrFrom"
"Chittagong","Private Fund","toOrFrom"
"Rangamati","Private Fund","toOrFrom"
"Shop Rent","Private Fund","against"
"FDR Profit","Private Fund","against"
"Bank Profit","Private Fund","against"
"Admin Expen","Private Fund","against"
"Misc Expen","Private Fund","against"
"Surplus","Private Fund","against"
"Dusto Bhata","Private Fund","against"
"Digital Display Rent","Private Fund","against"
"Misc","Private Fund","against"
"Cheque return","Private Fund","against"
"Auto Expenditure","Private Fund","against"
"SKS","Shantinibash Fund","toOrFrom"
"Shantinibash","Shantinibash Fund","toOrFrom"
"TBL","Shantinibash Fund","toOrFrom"
"BASB SJCO","Shantinibash Fund","toOrFrom"
"AHQ","Shantinibash Fund","toOrFrom"
"NAVY HQ","Shantinibash Fund","toOrFrom"
"Air HQ","Shantinibash Fund","toOrFrom"
"Other","Shantinibash Fund","toOrFrom"
"Shantinibash Expenditure","Shantinibash Fund","against"
"Bank Profit","Shantinibash Fund","against"
"Misc Expen","Shantinibash Fund","against"
"Surplus","Shantinibash Fund","against"
"Cheque Return","Shantinibash Fund","against"
"SKS","Medical & Dispensary Fund","toOrFrom"
"TBL","Medical & Dispensary Fund","toOrFrom"
"BASB SJCO","Medical & Dispensary Fund","toOrFrom"
"AHQ","Medical & Dispensary Fund","toOrFrom"
"NAVY HQ","Medical & Dispensary Fund","toOrFrom"
"Air HQ","Medical & Dispensary Fund","toOrFrom"
"Other","Medical & Dispensary Fund","toOrFrom"
"Dinajpur","Medical & Dispensary Fund","toOrFrom"
"Rangpur","Medical & Dispensary Fund","toOrFrom"
"Rajshahi","Medical & Dispensary Fund","toOrFrom"
"Bogra","Medical & Dispensary Fund","toOrFrom"
"Jamalpur","Medical & Dispensary Fund","toOrFrom"
"Mymenshingh","Medical & Dispensary Fund","toOrFrom"
"Tangail","Medical & Dispensary Fund","toOrFrom"
"Pabna","Medical & Dispensary Fund","toOrFrom"
"Kushtia","Medical & Dispensary Fund","toOrFrom"
"Jessore","Medical & Dispensary Fund","toOrFrom"
"Khulna","Medical & Dispensary Fund","toOrFrom"
"Barisal","Medical & Dispensary Fund","toOrFrom"
"Patuakhali","Medical & Dispensary Fund","toOrFrom"
"Faridpur","Medical & Dispensary Fund","toOrFrom"
"Dhaka","Medical & Dispensary Fund","toOrFrom"
"Sylhet","Medical & Dispensary Fund","toOrFrom"
"Comilla","Medical & Dispensary Fund","toOrFrom"
"Noakhali","Medical & Dispensary Fund","toOrFrom"
"Chittagong","Medical & Dispensary Fund","toOrFrom"
"Rangamati","Medical & Dispensary Fund","toOrFrom"
"Med Dis Expenditure","Medical & Dispensary Fund","against"
"Bank Profit","Medical & Dispensary Fund","against"
"Misc Expen","Medical & Dispensary Fund","against"
"Surplus","Medical & Dispensary Fund","against"
"Cheque return","Medical & Dispensary Fund","against"
"Med Treatment book Sell","Medical & Dispensary Fund","against"
"FC(Army)Pay-1","Public Fund","toOrFrom"
"FC(Army)Pay-2","Public Fund","toOrFrom"
"FC(Misc)","Public Fund","toOrFrom"
"Other unit","Public Fund","toOrFrom"
"TA/DA","Public Fund","against"
"Pay Civ","Public Fund","against"
"Festival","Public Fund","against"
"Other Allce","Public Fund","against"
"Msn Allce","Public Fund","against"
