code,"title",parent
4500,"অফিসারদের বেতন",
4501,"অফিসারদের বেতন",4500
4600,"প্রতিষ্ঠান কর্মচারীদের বেতন",
4601,"প্রতিষ্ঠান কর্মচারীদের বেতন",4600
4700,"ভাতাদি",
4701,"মহার্ঘ ভাতা",4700
4705,"বাড়িভাড়া ভাতা",4700
4709,"শ্রান্তি বিনোদন ভাতা",4700
4713,"উৎসব ভাতা",4700
4714,"নববর্ষ ভাতা",4700
4717,"চিকিৎসা ভাতা",4700
4721,"পাহাড়ি ভাতা",4700
4722,"প্রতিরক্ষা সার্ভিস ভাতা",4700
4724,"ব্যাটম্যান ভাতা",4700
4725,"ধোলাই ভাতা",4700
4733,"আপ্যায়ন ভাতা",4700
4755,"টিফিন ভাতা",4700
4765,"যাতায়াত ভাতা",4700
4773,"শিক্ষা সহায়ক ভাতা",4700
4775,"পোশাক ভাতা (কিট ভাতা)",4700
4794,"মোবাইল / সেলুলার টেলিফোন ভাতা",4700
4795,"অন্যান্য ভাতা ( প্রেষণ ভাতা )",4700
4800,"সরবরাহ ও সেবা",
4801,"ভ্রমন ব্যয়",4800
4802,"বদলি ব্যয়",4800
4806,"ভাড়া অফিস",4800
4810,"পৌর কর",4800
4811,"ভুমি কর",4800
4815,"ডাক",4800
4816,"টেলিফোন / টেলিগ্রাম / টেলিগ্রাফ",4800
4817,"টেলেক্স / ফ্যাক্স / ইন্টারনেট",4800
4819,"পানি",4800
4821,"বিদ্যুৎ",4800
4822,"গ্যাস ও জ্বালানী",4800
4823,"পেট্রোল ও লুব্রিক্যান্ট",4800
4827,"মুদ্রন ও বাধাই",4800
4828,"ষ্টেশনারী, সিল ও ষ্ট্যাম্প",4800
4833,"প্রচার ও বিজ্ঞাপন",4800
4836,"ইউনিফর্ম",4800
4844,"প্রতিনিধি প্রেরন ও ব্যয়",4800
4851,"অনিয়মিত শ্রমিক মজুরী বিল",4800
4899,"অন্যান্য ব্যয় - সরবরাহ ও সেবা",4800
4900,"মেরামত ও সংরক্ষণ",
4901,"মোটর যানবাহন",4900
4906,"আসবাবপত্র - মেরামত ও সংরক্ষণ",4900
4911,"কম্পিউটার ও অফিস সরঞ্জাম",4900
4916,"যন্ত্রপাতি ও সরঞ্জাম",4900
4921,"অফিস ভবন",4900
4991,"অন্যান্য মেরামত ও সরঞ্জাম",4900
6100,"আন্তর্জাতিক প্রতিষ্ঠানের চাঁদা",
6101,"আন্তর্জাতিক প্রতিষ্ঠানের চাঁদা",6100
6800,"প্রতিরক্ষা সম্পদ সংগ্রহ/ক্রয়",
6807,"মোটর যান",6800
6815,"কম্পিউটার ও যন্ত্রাংশ",6800
6817,"কম্পিউটার সফটওয়্যার",6800
6819,"অফিস সরঞ্জাম",6800
6821,"আসবাবপত্র - সম্পদ সংগ্রহ ও ক্রয়",6800
6900,"ভূমি ও অন্যান্য সম্পত্তি সংগ্রহ",
6901,"ভূমি অধিগ্রহণ । কেনা",6900
7000,"নির্মাণ ও পূর্ত",
7006,"অফিস ভবন নির্মাণ",7000
7016,"অন্যান্য ভবন ও অবকাঠামো",7000
7081,"অন্যান্য - নির্মাণ ও পূর্ত",7000
