Office,District,Address,Phone,Mobile,E-mail,Fax
HQ,HQ,"160, Kakrail, Dhaka-1000", 88029336153,0176-9055599,hq@basb.gov.bd, 88029353828
Dhaka,DASB,"160, Kakrail, Dhaka-1000", 88029336153,0176-9055599,dhaka@basb.gov.bd, 88029353828
Chittagong,DASB,"Rahman Manshion, Jalalabad, Ctg",031-681991,0173-005289, ctg@basb.gov.bd, 031-681991
Bogra,DASB,"Fuldighi, Bissaw Road, Bogra",5165429,0173-0075281, bogra@basb.gov.bd, 051-65429
Rangpur,DASB,"H-23, Salina Monjil, Porjoton Purbopara, Rangpur",53262611,0173-0075280, rangpur@basb.gov.bd,53262611
Jessore,DASB,"32 Rail Rode, Basepara, Jessore",0421-63321,0173-0075283, jessore@basb.gov.bd, 0421-63321
Comilla,DASB,"Jail Road, Comilla", 081-60190,0173-0075287, comilla@basb.gov.bd, 081-60190
Noakhali,DASB,"DC Office Area, Maizdi Court, Noakhali",0321-61216,0176-9011995, noakhali@basb.gov.bd, 0321-61216
Kushtia,DASB,"Custom More, Zenaidha Road, Kustia", 071-61574,0176-9011992, kustia@basb.gov.bd, 071-61574
Patuakhali,DASB,"DC Office Area, Patuakhali",0441-52628,0176-9011701, patuakhali@basb.gov.bd, 0441-52628
Sylhet,DASB,"Teli Hawur, Taltola, Sylhet",0821-714710,0173-0075288, sylhet@basb.gov.bd, 0821-714710
Rajshahi,DASB,"House No-42/D, Shopura Gate, Rajshahi Cantt",0721-861528,0173-0075282, rajshahi@basb.gov.bd, 0721-861528
Faridpur,DASB,"Tepakhola, Faridpur",0631-62771,0176-9011998, faridpur@basb.gov.bd, 0631-62771
Khulna,DASB,"15 Samsur Rahman Rode, Khulna",041-721786,0176-9011704, khulna@basb.gov.bd, 041-721786
Rangamati,DASB,"Rajbari, Rangamati-4500",0351-62197,0173-0082229, rangamati@basb.gov.bd, 0351-62197
Jamalpur,DASB,"Monshi para Rode, Fultola, Jamalpur", 0981-63646,17300782226, jamalpur@basb.gov.bd, 0981-63646
Barisal,DASB,"Old Town Hall, Barisal", 0431-2174298,0170-0375284, barisal@basb.gov.bd, 0431-2174298
Pabna,DASB,"Zelaparishad Bhovon, Pabna",0731-65592,0176-9011989, pabna@basb.gov.bd, 0731-65592
Dinajpur,DASB,"Joti Nir, Basunia patti, Dinajpur",53163389,0173-0082228, dinajpur@basb.gov.bd,53163389
Mymensingh,DASB,"House No-26/1, Shanki para, Mymensing",9166532,0173-0075285, mymensing@basb.gov.bd,9166532
Tangail,DASB,"Green Valley, Soto Kalibari Road, Akur Takur, Tangail",0921-63313,0173-0082227, tangail@basb.gov.bd, 0921-63313
