"Upazilla","Districts"
"AKHAURA","B-Baria"
"ASHUGANJ","B-Baria"
"BANCHARAMPUR","B-Baria"
"KASHBA","B-Baria"
"NABINAGAR","B-Baria"
"NASIRNAGAR","B-Baria"
"Sadar","B-Baria"
"SARAIL","B-Baria"
"Chitalmary","Bagerhat"
"Fakirhat","Bagerhat"
"Kachua","Bagerhat"
"Mollahat","Bagerhat"
"Mongal","Bagerhat"
"Moralganj","Bagerhat"
"Rampal","Bagerhat"
"Sadar","Bagerhat"
"Sharankhola","Bagerhat"
"ALIKADAM","Bandarban"
"Boangchhori","Bandarban"
"LAMA","Bandarban"
"RAIKHANGCHHORI","Bandarban"
"Rawang Chhari","Bandarban"
"RUMA","Bandarban"
"SADAR","Bandarban"
"THANCHI","Bandarban"
"Amatoli","Barguna"
"BAMNA","Barguna"
"BARGUNA","Barguna"
"BETAGI","Barguna"
"PATHORGHATA","Barguna"
"TALTOLI","Barguna"
"AGOILJHARA","Barisal"
"Babuganj","Barisal"
"Bakerganj","Barisal"
"BANARIPARA","Barisal"
"GOURNODI","Barisal"
"Hizla","Barisal"
"Kotowali","Barisal"
"Mehendiganj","Barisal"
"Muladi","Barisal"
"Sador","Barisal"
"Uzirpur","Barisal"
"ZIA NAGAR","Barisal"
"BHOLA","Bhola"
"BORHAN UDDIN","Bhola"
"CHARFASHAN","Bhola"
"DAWLATKHAN","Bhola"
"LALMOHON","Bhola"
"MONPURA","Bhola"
"TOJUMUDDIN","Bhola"
"ADAMDIGHI","Bogra"
"DHUNAT","Bogra"
"DHUPCHACHIA","Bogra"
"GABTOLI","Bogra"
"KAHALU","Bogra"
"NONDIGRAM","Bogra"
"Sadar","Bogra"
"SARIAKANDI","Bogra"
"SHAJAHANPUR","Bogra"
"SHERPUR","Bogra"
"SHIBGANJ","Bogra"
"SONATOLA","Bogra"
"FARIDGANJ","Chandpur"
"HAIMCHOR","Chandpur"
"Hajiganj","Chandpur"
"KOCHUA","Chandpur"
"MOTLAB","Chandpur"
"MOTLAB NORTH","Chandpur"
"SADAR","Chandpur"
"SHAH RASTI","Chandpur"
"BHOLAHAT","Chapai Nawabganj"
"GOMOSTAPUR","Chapai Nawabganj"
"NACHOL","Chapai Nawabganj"
"SADAR","Chapai Nawabganj"
"SHIBGANJ","Chapai Nawabganj"
"Anwara","Chittagong"
"Bagabang Chhari","Chittagong"
"Baijid  Bastami","Chittagong"
"Banshkhali","Chittagong"
"Boalkhali","Chittagong"
"Bondar","Chittagong"
"Chandanaish","Chittagong"
"Dobol Muring","Chittagong"
"Fatikchhari","Chittagong"
"Hathajari","Chittagong"
"Khulsi","Chittagong"
"LOHAGORA","Chittagong"
"Mirshworai","Chittagong"
"Potanga","Chittagong"
"Potia","Chittagong"
"Ranggunia","Chittagong"
"Raujan","Chittagong"
"SADAR, CTG","Chittagong"
"Sandiwp","Chittagong"
"Satkani","Chittagong"
"Sitakunda","Chittagong"
"ALAMDANGA","Chuadanga"
"DAMURHUDA","Chuadanga"
"JIBONNAGAR","Chuadanga"
"SADAR","Chuadanga"
"B- PARA","Comilla"
"BORURA","Comilla"
"BURICHONG","Comilla"
"CHANDINA","Comilla"
"CHOUDDAGRAM","Comilla"
"DAUDKANDI","Comilla"
"DEBIDAR","Comilla"
"HOMNA","Comilla"
"KOTALI","Comilla"
"LAKSAM","Comilla"
"MAGHNA","Comilla"
"MURADNAGAR","Comilla"
"NANGOLCOUT","Comilla"
"SADAR","Comilla"
"Titas","Comilla"
"Chokaria","Coxs Bazar"
"COX’S BAZAR","Coxs Bazar"
"KUTUBDIA","Coxs Bazar"
"MOHESHKHALI","Coxs Bazar"
"Pekua","Coxs Bazar"
"RAMU","Coxs Bazar"
"TEKNAF","Coxs Bazar"
"UKHIA","Coxs Bazar"
"ASHULIA","Dhaka"
"BADDA","Dhaka"
"Boedder Bazar","Dhaka"
"DEMRA","Dhaka"
"Dhaka Cantt","Dhaka"
"Dhamrai","Dhaka"
"DHANMONDI","Dhaka"
"Dohar","Dhaka"
"GULSHAN","Dhaka"
"HAZARIBAG","Dhaka"
"KAFRUL","Dhaka"
"KAMRANGIR CHAR","Dhaka"
"KATWALI","Dhaka"
"Kerniganj","Dhaka"
"KHILGAON","Dhaka"
"LALBAG","Dhaka"
"MIRPUR","Dhaka"
"Mogbazar","Dhaka"
"MOHAMMADPUR","Dhaka"
"MOTIJHEEL","Dhaka"
"Nawabganj","Dhaka"
"NOBABGANJ","Dhaka"
"POLLABI","Dhaka"
"RAMNA","Dhaka"
"SABUJBAG","Dhaka"
"Savar","Dhaka"
"SHAMPUR","Dhaka"
"SUTRAPUR","Dhaka"
"Tayer Bazar","Dhaka"
"TejgaonCircle","Dhaka"
"UTTARA","Dhaka"
"BANCHAGANJ","Dinajpur"
"BIRAL","Dinajpur"
"BIRAMPUR","Dinajpur"
"BIRGANJ","Dinajpur"
"CHARKAI","Dinajpur"
"Chirir Bondar","Dinajpur"
"FULBARI","Dinajpur"
"Ghoraghat","Dinajpur"
"HAKIMPUR","Dinajpur"
"KAHAROL","Dinajpur"
"KHANSAMA","Dinajpur"
"NABABGANJ","Dinajpur"
"PARBOTIPUR","Dinajpur"
"Sadar","Dinajpur"
"ALFADANGA","Faridpur"
"BHANGA","Faridpur"
"BOALMARI","Faridpur"
"CHARBHADRASON","Faridpur"
"Kotwali","Faridpur"
"MADHUKHALI","Faridpur"
"NAGAR KANDA","Faridpur"
"SADAR","Faridpur"
"SADARPUR","Faridpur"
"SHALTA","Faridpur"
"CHHAGOL NAYA","Feni"
"DAGON BHUIYAN","Feni"
"FULGAZI","Feni"
"PORSHURAM","Feni"
"Sador","Feni"
"SONAGAZI","Feni"
"FULBARIA","Gaibandha"
"GOBINDAGANJ","Gaibandha"
"PALASHBARI","Gaibandha"
"SADAR","Gaibandha"
"SADULLAHPUR","Gaibandha"
"SAGHATA","Gaibandha"
"SUNDARGANJ","Gaibandha"
"JOYDEBPUR","Gazipur"
"Kaliakoyer","Gazipur"
"Kaliganj","Gazipur"
"Kapasia","Gazipur"
"Sadar","Gazipur"
"Sreepur","Gazipur"
"TONGI","Gazipur"
"KASHIANI","Gopalganj"
"KOTALIPARA","Gopalganj"
"Muksudpur","Gopalganj"
"SADAR","Gopalganj"
"TONGIPARA","Gopalganj"
"AZMIRIGANJ","Habiganj"
"BAHUBAL","Habiganj"
"BANIACHANG","Habiganj"
"CHUNARUGHAT","Habiganj"
"KALAISH","Habiganj"
"LAKHAI","Habiganj"
"MADHOBPUR","Habiganj"
"NABIGANJ","Habiganj"
"SADAR","Habiganj"
"SHAISTAGANJ","Habiganj"
"AKKELPUR","Jaipurhat"
"KALAI","Jaipurhat"
"KHETLAL","Jaipurhat"
"PANCHBIBI","Jaipurhat"
"SADAR","Jaipurhat"
"BAKSHIGANJ","Jamalpur"
"DEWANGANJ","Jamalpur"
"ISLAMPUR","Jamalpur"
"MADARGANJ","Jamalpur"
"MELANDAH","Jamalpur"
"SADAR","Jamalpur"
"SARISHABARI","Jamalpur"
"Avai Nagar","Jessore"
"BAGHERPARA","Jessore"
"BENAPOL BONDAR","Jessore"
"CHOWGASA","Jessore"
"JHIKARGASA","Jessore"
"KESHABPUR","Jessore"
"Kotwali","Jessore"
"MONIRAMPUR","Jessore"
"SADAR","Jessore"
"SARSHA","Jessore"
"JHALOKATHI","Jhalakathi"
"KANTHALIA","Jhalakathi"
"NOLCITY","Jhalakathi"
"RAZAPUR","Jhalakathi"
"COUT CHANDPUR","Jhinaidah"
"HARINAKUNDU","Jhinaidah"
"JHINAIDAH","Jhinaidah"
"KALIGANJ","Jhinaidah"
"MOHESHPUR","Jhinaidah"
"SHOILKUPA","Jhinaidah"
"DIGHINALA","Khagrachari"
"LAKSHMISHHORI","Khagrachari"
"MAHALSHHORI","Khagrachari"
"MANIKSHHORI","Khagrachari"
"MATIRANGA","Khagrachari"
"PANSHHORI","Khagrachari"
"RAMGOR","Khagrachari"
"SADAR","Khagrachari"
"SOTA MERUANG","Khagrachari"
